industryID,inspectiondate,nameOfInspectionOfficer,inspectionStatus,fileID,infileID,applicationID,scheduledDate,reason
345,2013-11-12,"M.G.L.Fernando /U.N.Chandralani","Recommended for EPL Renewal",NULL,181,341,NULL,NULL
346,2014-08-14,M.I.Perera/N.U.Samarawickrama,Recomended,NULL,182,342,NULL,NULL
349,2014-12-16,"M.G.L.Fernando/ O.N.Perera","Recommended for EPL Renewal",NULL,183,347,NULL,NULL
346,2014-08-14,M.I.Perera/N.U.Samarawickrama,Recommended,NULL,184,345,NULL,NULL
352,2014-09-12,"M.G.L.Fernando /S.Adikaram","Before consider the issuence of EPl it is better obtain waste water anlytical report.",NULL,185,350,NULL,NULL
1,2014-08-26,"M.G.L.Fernando /D.I.W. Kodithuwakku","Recommended for EPL Renewal",NULL,186,1,NULL,NULL
359,2013-10-11,"N.R.Devanarayana/L. Jayathilaka","Recommended for EPL Renewal",NULL,187,356,NULL,NULL
361,2013-11-08,"N.R.Devanarayana/L. Jayathilaka","Recommended for EPL Renewal",NULL,188,359,NULL,NULL
364,2013-02-13,N.R.Devanarayana/W.W.Abesingha," EPL can be  recommended after obtaining waste water analytical report.",NULL,189,362,NULL,NULL
365,2013-09-10,N.R.Devanarayana/W.W.Abesingha,"Recommended for EPL Renewal",NULL,190,363,NULL,NULL
368,2014-01-07,N.R.Devanarayana/B.R.Kulasekara,"Renewal of  EPL  can be considered after obtaining wast water analytical report",NULL,191,366,NULL,NULL
371,2014-07-18,"N.R.Devanarayana/L. Jayathilaka","Expecting CEA waste water analytical report",NULL,192,369,NULL,NULL
374,2014-09-30,"N.R.Devanarayana/Ashoka Samaraweera","Recommended for EPL Renewal",NULL,193,372,NULL,NULL
376,2014-08-29,"N.R.Devanarayana/L. Jayathilaka","Recommended for EPL Renewal",NULL,194,373,NULL,NULL
378,2014-08-29,"N.A.Jayawardana/ ","Recommended for EPL Renewal",NULL,195,376,NULL,NULL
379,2014-03-17,"N.R.Devanarayana/P.H.Menaka Sujith","Renewal of EPLcan be considered after obtaining waste water analytical report.",NULL,196,377,NULL,NULL
382,2014-01-06,"N.R.Devanarayana/Ashoka Samaraweera","Renewal of  EPL  can be considered after obtaining wast water analytical report ",NULL,197,379,NULL,NULL
381,2013-12-13,Mrs.N.R.Devanarayana,"EPL fee pending",NULL,198,380,NULL,NULL
383,2013-11-22,N.R.Devanarayana/W.W.Abesingha,"Renewal of  EPL  can be considered after obtaining wast water analytical report",NULL,199,381,NULL,NULL
384,2014-07-18,"Mrs N.R.Dewanarayana","EPL fee pending",NULL,200,382,NULL,NULL
386,2014-07-10,"N.R.Devanarayana/Ashoka Samaraweera","Recommended for EPL",NULL,201,383,NULL,NULL
387,2011-02-09,Mrs.N.R.Devanarayana,"not available waste water treatment system",NULL,202,385,NULL,NULL
388,2013-11-19,"N.R.Devanarayana/Ashoka Samaraweera","Recommended for EPL Renewal",NULL,203,386,NULL,NULL
389,2014-08-07,Mrs.N.R.Devanarayana,"Pending Waste water analytically report",NULL,204,387,NULL,NULL
392,2014-01-24,"N.R.Devanarayana/Ashoka Samaraweera","Renewal of  EPL  can be considered after obtaining wast water analytical report",NULL,205,389,NULL,NULL
391,2014-01-21,"Mrs.Nilanthi Devanarayana","Pending UDA clearence",NULL,206,390,NULL,NULL
393,NULL,," .",NULL,207,391,NULL,NULL
394,2013-03-07,Mrs.N.R.Devanarayana,"Pending Waste water Analytically Reports",NULL,208,392,NULL,NULL
393,2013-10-30,"M.G.L.Fernando /W.Warnakulasooriya","Renewal of  EPL  can be considered after obtaining wast water analytical report",NULL,209,391,NULL,NULL
396,2014-04-30,Mrs.N.R.Devanarayana,"Pending for waste water treatment system",NULL,210,394,NULL,NULL
398,2014-08-29,Mrs.N.R.Devanarayana,"Pending Waste water Analytical report ",NULL,211,397,NULL,NULL
400,2014-04-30,Mrs.N.R.Devanarayana,"Pending for repairing treatment system ",NULL,212,398,NULL,NULL
402,2012-12-24,"M.R.Namali/ Anusha Nilanthi","Recommended for EPL",NULL,213,400,NULL,NULL
403,2013-12-31,Mrs.N.R.Devanarayana,"EPL fee pending",NULL,214,401,NULL,NULL
