industryID,reminderType,dueDate,dueStatus,recievedDate,applicationID,nxtRemDate,officeID
496,1,2015-02-21,0,NULL,490,NULL,NULL
497,1,2015-06-25,0,NULL,491,NULL,NULL
498,1,2015-03-24,0,NULL,492,NULL,NULL
499,1,2015-03-17,0,NULL,493,NULL,NULL
500,1,2016-04-30,0,NULL,23936,NULL,6
501,1,2015-03-25,0,NULL,495,NULL,NULL
502,1,2015-03-25,0,NULL,496,NULL,NULL
503,1,2015-05-20,0,NULL,498,NULL,NULL
504,1,2015-02-11,0,NULL,499,NULL,NULL
505,1,2015-04-08,0,NULL,500,NULL,NULL
506,1,2015-05-20,0,NULL,501,NULL,NULL
507,1,2015-04-21,0,NULL,502,NULL,NULL
508,1,2015-04-08,0,NULL,503,NULL,NULL
509,1,2015-04-30,0,NULL,505,NULL,NULL
510,1,2015-05-16,0,NULL,504,NULL,NULL
511,1,2015-11-07,0,NULL,507,NULL,6
512,1,2015-04-30,0,NULL,506,NULL,NULL
513,1,2015-04-23,0,NULL,509,NULL,NULL
514,1,2016-04-30,0,NULL,23935,NULL,6
515,1,2015-06-03,0,NULL,510,NULL,NULL
516,1,2015-06-10,0,NULL,511,NULL,NULL
517,1,2015-04-23,0,NULL,512,NULL,NULL
518,1,2010-09-07,0,NULL,513,NULL,NULL
519,1,2015-05-16,0,NULL,515,NULL,NULL
520,1,2015-04-30,0,NULL,514,NULL,NULL
521,1,2014-12-18,0,NULL,516,NULL,NULL
522,1,2013-03-09,0,NULL,517,NULL,NULL
523,1,2016-04-14,0,NULL,23445,NULL,6
525,1,2015-06-28,0,NULL,520,NULL,6
526,1,2015-11-19,0,NULL,22734,NULL,6
527,1,2015-07-25,0,NULL,522,NULL,6
528,1,2015-11-19,0,NULL,22736,NULL,6
529,1,2016-02-13,1,NULL,23165,2016-06-05,6
530,1,2016-02-07,1,NULL,23149,2016-06-05,6
531,1,2016-07-23,0,NULL,24151,NULL,6
532,1,2016-07-23,0,NULL,24136,NULL,6
533,1,2016-02-10,1,NULL,23164,2016-06-05,6
534,1,2016-07-14,0,NULL,24181,NULL,6
535,1,2016-10-22,0,NULL,24322,NULL,6
536,1,2016-01-22,0,NULL,23155,NULL,6
537,1,2015-11-27,0,NULL,534,NULL,6
538,1,2016-06-07,0,NULL,24135,NULL,6
539,1,2016-05-17,0,NULL,24175,NULL,6
540,1,2015-05-16,0,NULL,536,NULL,NULL
542,1,2015-05-26,0,NULL,538,NULL,NULL
