productID,industryID,procduct_byproducts_name,qty,productstatus
644,24779,wall mounted panel boards,,Product
645,24779,Capacitor Banks,,Product
646,24779,Moter contro centres,,Product
647,24773,6’*9’ Granite,10 cubes,Product
648,24773,Granite Chips,,By Product
649,24779,"19"" equipment racks",,Product
650,24779,Cable trays and ladders,,Product
651,24779,Light fittings,,Product
652,16648,Grill,100kg,Product
653,16648,Gates,5nos,By Product
654,1887,Granite slabs,,Product
655,1887,Granite tiles,,Product
656,1887,Granite tiles,,Product
657,10325,,,Product
658,10229,Paddy ,8000,Product
659,10229,Rice,1800,Product
660,2041,PPainting tables and chairs,,Product
661,18586,"Eggs, chicks",,Product
662,16466,Rice,3000 Kg/day,Product
663,24783,Food & beverages,,Product
664,16466,Bran,500 kg/day,By Product
665,16466,Broken Rice,250 kg/day,By Product
666,2137,Small cloths,1200kg per day,Product
667,1071,Food & beverages,,Product
668,10227,Chicks,30000,Product
669,10227,,,Product
670,24790,Food & beverages,,Product
671,1889,Eggs,,Product
672,1889,Animal fertilizer,,Product
673,16467,Rice,2750 kg/day,Product
674,16467,Bran,300 kg/day,By Product
675,16467,Broken Rice,150 kg/day,By Product
676,18781,rice,1200kg/day,Product
677,18781,Bran,250kg/day,By Product
678,16573,Rice,3200,Product
679,16573,,,Product
680,16468,Rice,2700 kg/day,Product
681,16468,Bran,300 kg/day,By Product
682,16468,Broken Rice,150 kg/day,By Product
683,6192,kaolin,100 t/month,Product
684,3215,PET bottles,-,Product
685,3215,caps,,Product
686,1890,Re building tyres,,Product
687,1890,Carpets,,Product
688,1073,Food & beverages,,Product
689,24798,Rice,8000 Kg,Product
690,1898,4/3 powder,10 cubes,Product
691,17396,Rice,5000kg,Product
692,18695,Granite,125/month,Product
693,1895,Toilet tisse,,Product
694,1895,garbage bags,,Product
695,1895,Shopping bags,,Product
696,1895,All kind of poly bags,,Product
697,16469,Gate,(6' x 7') gate 01/month,Product
698,16469,Grill,50 kg/month,Product
699,16469,Other iron works,150 kg/day,Product
700,17837,Rice,3000,Product
701,17837,Broken rice,250,Product
702,12044,Rice,4200,Product
703,16765,Bread,100 kg/day,Product
704,16765,Bun,200 nos/day ,Product
705,16765,cake ,05 kg/day,Product
706,17406,6’*4’ Granite,250/month,Product
707,1901,Paint Brushers,3000,Product
708,3222,"Plastic furniture (chairs, tables, stools, cupboards)",3000 MT per annum,Product
