industryID,fualtype,purpose,fuelconsumption,fid
5039,"LP Gas",Cooking,NULL,651
16990,"Diesel ","Operation of  machineries   ",25,652
4631,Diesel,"For generator",75,653
6164,diesel,generator,NULL,654
3393,No,,NULL,655
15386,Diesel,"Fuel for generator",50,656
16991,"Diesel ","Operation of  machineries  ",30,657
2307,Diesel,"firing ",75,658
1988,Diesel,"for machines",15,659
25011,Diesel,,NULL,660
16594,Diesel,"Operating Generator.",6,661
16419,Diesel,"For drilling rocks",10,662
6171,"kerosene oil","washing vehicles",10,663
17517,Diesel,,50,664
16638,Gas,,30,665
16638,Disel,,10,666
17726,Deisel,Generator,200,667
17224,Deisal,,10,668
17535,Diesel,,35,669
15392,Diesel,"Operation of Generator",80,670
25018,Disel,"For engine",10,671
17511,Diesel,,NULL,672
17229,Deisel,"boring machins ",5,673
16420,Diesel,"Incase of power supply failure",NULL,674
17637,Diesel,,25,675
17526,Deisel,Compresurs,NULL,676
17519,"Kerosene ","Burners heating",125,677
25030,Diesel,"Machine operete",700,678
16612,,,NULL,679
16516,Husk,"for boilers",500,680
17571,Diesel,"Machinery use",35,681
16622,,,NULL,682
18628,Diesel,"For machinary use",5,683
17529,Diesel,20,NULL,684
25034,Diesel,"for mashinery",60,685
16521,husk,"for boilers",500,686
17521,Diesel,Machine,15,687
17727,Diesel,,20,688
17727,Diesel,,NULL,689
17547,Diesel,,400,690
17534,Gas,"For kitchen purpose",27,691
17534,Diesel,"For generetor",NULL,692
16594,,,NULL,693
19009,"paddy husk","boiling rice",15,694
19010,"Paddy husk","For boiling",50,695
19011,"paddy husk","boiling rice",50,696
19012,"Paddy husk",boiling,50,697
17533,Diesel,"For machinary use",80,698
17516,"Diesel ","For machines ",80,699
17555,Diesel,"operate excavator & compressor ",300,700
19018,"Paddy husk",Boiling,100,701
18430,Diesel,"for Loader & Generator",75,702
17723,Diesel,"For machine",75,703
17549,"Diesel  ","for compressor ",100,704
17523,"Diesel ","for Machines",100,705
17540,Diesel,"To crush metal",NULL,706
18203,"LP gas","For cooking",NULL,707
17512,"Diesel ","Boring rocks  ",NULL,708
18315,Diesel,"operate generatr",NULL,709
16683,diesel,"fuel for generator",2,710
17642,Diesel,Compressure,20,711
25043,Diesel,"for Boilers & Generators",NULL,712
17552,Diesel,"Heat tar and metal",3600,713
17655,Diesel,"For machinary use ",NULL,714
18189,Diesel,"For generator",100,715
17657,Diesel,"For compressure",NULL,716
25046,Diesel,"For Machinery",100,717
17659,Diesel,"For machine",40,718
17565,Diesel,Vehicle,40,719
17524,Diesel,"for compressor, Excavator ",120,720
18181,Diesel,"For Generator",7,721
18193,Diesel,"For Generator",32,722
24991,,,125,723
24991,L.P.G,"For heating",125,724
11674,Diesel,"For machines",NULL,725
18452,Diesel,"For Machinery use",NULL,726
17643,Diesel,"For machinary use",20,727
11932,Diesel,Generator,15,728
